name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Streem,Consumer,Consumer -> Content,Consumer,Content,,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
OmniVirt,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
Fullstack Academy,Education,Education,Education,,Education,Coding Bootcamps,FALSE,FALSE,FALSE,S,12,"New York, NY, USA",United States of America,1
Statwing,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
Kamcord,Consumer,Consumer -> Gaming,Consumer,Gaming,,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
ZeroMailer,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Email,,FALSE,FALSE,FALSE,S,12,,Unspecified,1
Boosted,Consumer,Consumer -> Consumer Electronics,Consumer,Consumer Electronics,Electric Vehicles,,FALSE,FALSE,FALSE,S,12,"Mountain View, CA, USA",United States of America,1
Knowmia,Education,Education,Education,,Education,Video,FALSE,FALSE,FALSE,S,12,Remote,United States of America,1
Pixate,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Design,,FALSE,FALSE,FALSE,S,12,"Palo Alto, CA, USA",United States of America,1
Light Table/Eve,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,Hard Tech,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Thread,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,Fashion,Retail,FALSE,FALSE,FALSE,S,12,"England, United Kingdom",United Kingdom,0
GetGoing,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer,"Travel, Leisure and Tourism",Travel,Booking,FALSE,FALSE,FALSE,S,12,"Redwood City, CA, USA",United States of America,0
Scoutzie,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Design,,FALSE,FALSE,FALSE,S,12,"Palo Alto, CA, USA",United States of America,0
Assorted Bits,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Calendar,,TRUE,FALSE,FALSE,S,12,,Unspecified,0
Viacycle,Consumer,Consumer -> Transportation Services,Consumer,Transportation Services,Mobility,,FALSE,FALSE,FALSE,S,12,"Atlanta, GA, USA",United States of America,0
Parallel Universe,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Cloud Computing,DevOps,FALSE,FALSE,FALSE,S,12,,Unspecified,0
Celery,B2B Software and Services,B2B Software and Services -> Retail,B2B Software and Services,Retail,E-Commerce,Crowdfunding,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Everyday.me,Consumer,Consumer -> Social,Consumer,Social,Media,Video,FALSE,FALSE,FALSE,S,12,,Unspecified,0
MicroEval,B2B Software and Services,B2B Software and Services -> Human Resources,B2B Software and Services,Human Resources,HR Tech,,FALSE,FALSE,TRUE,S,12,"Hamlin, NY, USA",United States of America,0
Credictive,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Analytics,Advertising,FALSE,FALSE,FALSE,S,12,,Unspecified,0
RegistryLove,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,E-Commerce,,FALSE,FALSE,FALSE,S,12,"Cupertino, CA, USA",United States of America,0
GoScale,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,SaaS,Cloud Computing,FALSE,FALSE,FALSE,S,12,"London, England, United Kingdom",United Kingdom,0
Tastemaker,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,Design Tools,,FALSE,TRUE,TRUE,S,12,Remote,United States of America,0
Coco Controller,Consumer,Consumer -> Consumer Electronics,Consumer,Consumer Electronics,Gaming,,FALSE,FALSE,FALSE,S,12,,Unspecified,0
Partnered,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,B2B,Marketing,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Profig,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,Telecommunications,,FALSE,FALSE,FALSE,S,12,"Mountain View, CA, USA",United States of America,0
Keychain Logistics,B2B Software and Services,B2B Software and Services -> Supply Chain and Logistics,B2B Software and Services,Supply Chain and Logistics,Logistics,Supply Chain,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
ReelSurfer,Consumer,Consumer -> Social,Consumer,Social,Video,Social,FALSE,FALSE,FALSE,S,12,"Menlo Park, CA, USA",United States of America,0
Dreamforge,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",3D Printing,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Collections,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,,,FALSE,FALSE,FALSE,S,12,"Mountain View, CA, USA",United States of America,0
FileStack,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Developer Tools,,FALSE,FALSE,FALSE,S,12,"San Antonio, TX, USA",United States of America,0
Hipset,Consumer,Consumer -> Content,Consumer,Content,Music,Video,FALSE,FALSE,FALSE,S,12,,Unspecified,0
Kippt,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Social,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Hiptype,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,E-Commerce,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Markupwand,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,,FALSE,FALSE,FALSE,S,12,"Bengaluru, KA, India",India,0
Sparkboard,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,,,FALSE,FALSE,FALSE,S,12,,Unspecified,0
Crohnology (by Healthy Labs),Healthcare,Healthcare -> Consumer Health and Wellness,Healthcare,Consumer Health and Wellness,Consumer Health Services,Social Network,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
Grid,Consumer,Consumer,Consumer,,,,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
DataNitro,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Analytics,,FALSE,FALSE,FALSE,S,12,"New York, NY, USA",United States of America,0
Airshared,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,SaaS,,FALSE,FALSE,FALSE,S,12,,Unspecified,0
Framebase,Consumer,Consumer -> Content,Consumer,Content,API,Video,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Testmunk,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",,,FALSE,FALSE,FALSE,S,12,"CA, USA",United States of America,0
Amicus,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Nonprofit,,TRUE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Arc,Industrials,Industrials -> Drones,Industrials,Drones,Drones,Robotics,FALSE,FALSE,FALSE,S,12,"Palo Alto, CA, USA",United States of America,0
Imgfave,Consumer,Consumer -> Content,Consumer,Content,Social,Community,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
LeanMarket,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,,FALSE,FALSE,FALSE,S,12,"Mountain View, CA, USA",United States of America,0
Canopy Labs,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,CRM,FALSE,FALSE,FALSE,S,12,"New York, NY, USA",United States of America,0
TomoGuides,Consumer,Consumer -> Content,Consumer,Content,Travel,,FALSE,FALSE,FALSE,S,12,"Seattle, WA, USA",United States of America,0
Reddit,Consumer,Consumer -> Content,Consumer,Content,Community,Social,FALSE,FALSE,FALSE,S,5,"San Francisco, CA, USA",United States of America,1
Kiko,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Calendar,,FALSE,FALSE,FALSE,S,5,"Cambridge, MA, USA",United States of America,1
Clickfacts,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,,,FALSE,FALSE,FALSE,S,5,"San Francisco, CA, USA",United States of America,1
TextPayMe,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,,,FALSE,FALSE,FALSE,S,5,"Redmond, WA, USA",United States of America,1
Loopt,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,S,5,"Mountain View, CA, USA",United States of America,1
Infogami,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,,,FALSE,FALSE,FALSE,S,5,"London, England, United Kingdom",United Kingdom,0
Memamp,B2B Software and Services,B2B Software and Services,B2B Software and Services,,,,FALSE,FALSE,FALSE,S,5,"Somerville, MA, USA",United States of America,0
Simmery,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,S,5,"Wallingford, CT, USA",United States of America,0
Airbnb,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer,"Travel, Leisure and Tourism",Travel,Marketplace,FALSE,FALSE,FALSE,W,9,"San Francisco, CA, USA",United States of America,1
Volantio,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Airlines,,FALSE,FALSE,FALSE,W,9,"Atlanta, GA, USA",United States of America,0
