name,subindustry,batch,Location1,Year,status,success
Anima App,"B2B Software and Services -> Engineering, Product and Design",S18,"New York, NY, USA",18,Active,Ongoing
Savvy,B2B Software and Services -> Productivity,S18,"San Francisco, CA, USA",18,Active,Ongoing
Vimcal,B2B Software and Services -> Productivity,S18,Remote,18,Active,Ongoing
Paladin,Industrials -> Drones,S18,"Houston, TX, USA",18,Active,Ongoing
Clear Gene,Healthcare -> Diagnostics,S18,"San Carlos, CA, USA",18,Active,Ongoing
Radix Labs,Healthcare -> Diagnostics,S18,"Cambridge, MA, USA",18,Active,Ongoing
Hepatx,Healthcare -> Therapeutics,S18,"Palo Alto, CA, USA",18,Active,Ongoing
The Good Food Institute,Consumer -> Food and Beverage,S18,"Washington, DC, USA",18,Active,Ongoing
Rebellyous Foods,Healthcare -> Industrial Bio,S18,"Seattle, WA, USA",18,Active,Ongoing
Spero Foods,Healthcare -> Industrial Bio,S18,"Oakland, CA, USA",18,Active,Ongoing
AskMyClass,Education,S18,Remote,18,Active,Ongoing
Optic,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Active,Ongoing
College Pulse,B2B Software and Services -> Analytics,S18,"San Francisco, CA, USA",18,Active,Ongoing
Apprentice Health,Healthcare -> Healthcare IT,S18,"Boston, MA, USA",18,Active,Ongoing
JITX,Industrials -> Manufacturing and Robotics,S18,"Berkeley, CA, USA",18,Active,Ongoing
Inscribe,B2B Software and Services -> Infrastructure,S18,"San Francisco, CA, USA",18,Active,Ongoing
Data Driven Bioscience,Healthcare -> Diagnostics,S18,"Durham, NC, USA",18,Active,Ongoing
Activeloop,B2B Software and Services -> Infrastructure,S18,"Mountain View, CA, USA",18,Active,Ongoing
OpenWrench,B2B Software and Services -> Operations,S18,"San Francisco, CA, USA",18,Active,Ongoing
Federacy,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Active,Ongoing
Verse Medical,Healthcare -> Consumer Health and Wellness,S18,"New York, NY, USA",18,Active,Ongoing
Satchel,Financial Technology -> Payments,S18,"San Francisco, CA, USA",18,Active,Ongoing
Dinesafe,Healthcare -> Consumer Health and Wellness,S18,Remote,18,Active,Ongoing
"numericcal, inc.","B2B Software and Services -> Engineering, Product and Design",S18,"San Francisco, CA, USA",18,Active,Ongoing
C16 Biosciences,Healthcare -> Industrial Bio,S18,"New York, NY, USA",18,Active,Ongoing
Klarity,B2B Software and Services -> Legal,S18,"San Francisco, CA, USA",18,Active,Ongoing
OWNY,Financial Technology -> Asset Management,S18,Remote,18,Active,Ongoing
Honeylove,Consumer -> Apparel and Cosmetics,S18,"San Francisco, CA, USA",18,Active,Ongoing
Allotrope Medical,Healthcare -> Medical Devices,S18,"Houston, TX, USA",18,Active,Ongoing
Grin,Consumer -> Transportation Services,S18,"Mexico City, CDMX, Mexico",18,Acquired,Exited
Coral Genomics,Healthcare -> Drug Discovery and Delivery,S18,"San Francisco, CA, USA",18,Acquired,Exited
HeyDoctor,Healthcare -> Healthcare IT,S18,"San Francisco, CA, USA",18,Acquired,Exited
hypcloud,Real Estate and Construction -> Housing and Real Estate,S18,"Berlin, Berlin, Germany",18,Acquired,Exited
CSPA,B2B Software and Services -> Recruiting and Talent,S18,"San Francisco, CA, USA",18,Acquired,Exited
Scanwell Health,Healthcare -> Diagnostics,S18,Remote,18,Acquired,Exited
OneGraph,"B2B Software and Services -> Engineering, Product and Design",S18,"San Francisco, CA, USA",18,Acquired,Exited
Demeanor.co,Consumer -> Social,S18,"Los Angeles, CA, USA",18,Acquired,Exited
Lowkey,Consumer -> Gaming,S18,"San Francisco, CA, USA",18,Acquired,Exited
Phiar,Industrials -> Automotive,S18,"Redwood City, CA, USA",18,Acquired,Exited
Perception Biosystems,Healthcare -> Therapeutics,S18,"Palo Alto, CA, USA",18,Inactive,Inactive
dNovo,Healthcare -> Therapeutics,S18,"San Jose, CA, USA",18,Inactive,Inactive
Goodly,B2B Software and Services -> Human Resources,S18,"San Francisco, CA, USA",18,Inactive,Inactive
FameGame,Consumer -> Social,S18,,18,Inactive,Inactive
BHRD,B2B Software and Services -> Finance and Accounting,S18,"Toronto, ON, Canada",18,Inactive,Inactive
The Buttermilk Company,Consumer -> Food and Beverage,S18,"Seattle, WA, USA",18,Inactive,Inactive
LabelFlow,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Inactive,Inactive
Grabb-It,B2B Software and Services -> Marketing,S18,"Milpitas, CA, USA",18,Inactive,Inactive
Medinas Health,Healthcare -> Healthcare Services,S18,Remote,18,Inactive,Inactive
INKHUNTER,Consumer -> Virtual and Augmented Reality,S18,"San Francisco, CA, USA",18,Inactive,Inactive
Mylk Guys,Consumer -> Food and Beverage,S18,"San Francisco, CA, USA",18,Inactive,Inactive
ShopWith,B2B Software and Services -> Marketing,S18,"San Francisco, CA, USA",18,Inactive,Inactive
Inokyo,B2B Software and Services -> Retail,S18,"San Francisco, CA, USA",18,Inactive,Inactive
Contrast,"B2B Software and Services -> Engineering, Product and Design",S18,"New York, NY, USA",18,Inactive,Inactive
Xkit,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Inactive,Inactive
FREY,Consumer -> Apparel and Cosmetics,S18,"CA, USA",18,Inactive,Inactive
Passenger AI,Industrials -> Automotive,S18,"Toronto, ON, Canada",18,Inactive,Inactive
ExceptionALLY,Education,S18,"Atlanta, GA, USA",18,Inactive,Inactive
User Hero,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Inactive,Inactive
Penta Medical,Healthcare -> Consumer Health and Wellness,S18,"Waterloo, ON, Canada",18,Inactive,Inactive
Warpdrive by Synthetic Minds,B2B Software and Services -> Productivity,S18,Remote,18,Inactive,Inactive
OpenSea,Consumer -> Content,W18,"San Francisco, CA, USA",18,Active,Ongoing
Groww,Financial Technology -> Asset Management,W18,"Bengaluru, KA, India",18,Active,Ongoing
Newfront,Financial Technology -> Insurance,W18,"San Francisco, CA, USA",18,Active,Ongoing
Vanta,B2B Software and Services -> Security,W18,"San Francisco, CA, USA",18,Active,Ongoing
Jasper.ai,"B2B Software and Services -> Engineering, Product and Design",W18,"Austin, TX, USA",18,Active,Ongoing
Veriff,"B2B Software and Services -> Engineering, Product and Design",W18,"New York, NY, USA",18,Active,Ongoing
CoinTracker,Financial Technology,W18,Remote,18,Active,Ongoing
CaptivateIQ,B2B Software and Services -> Finance and Accounting,W18,Remote,18,Active,Ongoing
Modern Health,Healthcare -> Healthcare Services,W18,Remote,18,Active,Ongoing
Quantstamp,B2B Software and Services -> Security,W18,Remote,18,Active,Ongoing
Replit,"B2B Software and Services -> Engineering, Product and Design",W18,"San Francisco, CA, USA",18,Active,Ongoing
Observe.AI,B2B Software and Services -> Sales,W18,"San Francisco, CA, USA",18,Active,Ongoing
Substack,B2B Software and Services -> Marketing,W18,"San Francisco, CA, USA",18,Active,Ongoing
Shogun,"B2B Software and Services -> Engineering, Product and Design",W18,Remote,18,Active,Ongoing
Promise,Government,W18,Remote,18,Active,Ongoing
Let's Do This,"Consumer -> Travel, Leisure and Tourism",W18,"London, England, United Kingdom",18,Active,Ongoing
Memora Health,Healthcare -> Healthcare IT,W18,"San Francisco, CA, USA",18,Active,Ongoing
Aspire,Financial Technology -> Payments,W18,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",18,Active,Ongoing
Snackpass,Consumer -> Food and Beverage,W18,"San Francisco, CA, USA",18,Active,Ongoing
Proven,Consumer,W18,Remote,18,Active,Ongoing
SRTX,Industrials -> Manufacturing and Robotics,W18,"Montreal, QC, Canada",18,Active,Ongoing
Mighty Buildings,Real Estate and Construction -> Housing and Real Estate,W18,"Oakland, CA, USA",18,Active,Ongoing
Delphia,Financial Technology -> Consumer Finance,W18,Remote,18,Active,Ongoing
Treasury Prime,Financial Technology -> Banking and Exchange,W18,Remote,18,Active,Ongoing
Torch,B2B Software and Services -> Recruiting and Talent,W18,"San Francisco, CA, USA",18,Active,Ongoing
Super,Consumer,W18,"Surabaya, East Java, Indonesia",18,Active,Ongoing
Culture Biosciences,Healthcare -> Industrial Bio,W18,"South San Francisco, CA, USA",18,Active,Ongoing
Quit Genius,Consumer -> Content,W18,"New York, NY, USA",18,Active,Ongoing
Sqreen,B2B Software and Services -> Security,W18,"San Francisco, CA, USA",18,Acquired,Exited
Nuvocargo,B2B Software and Services -> Supply Chain and Logistics,W18,"Mexico City, CDMX, Mexico",18,Active,Ongoing
Bear Flag Robotics,Industrials -> Agriculture,W18,"Newark, CA, USA",18,Acquired,Exited
SafetyWing,Financial Technology -> Insurance,W18,Remote,18,Active,Ongoing
Volley,Consumer -> Gaming,W18,"San Francisco, CA, USA",18,Active,Ongoing
Swayable,B2B Software and Services -> Marketing,W18,"New York, NY, USA",18,Active,Ongoing
FidoCureÂ®,Healthcare -> Healthcare Services,W18,Remote,18,Active,Ongoing
Aerones,Industrials -> Drones,W18,"Riga, Latvia",18,Active,Ongoing
Helloverify,B2B Software and Services -> Human Resources,W18,"Noida, UP, India",18,Active,Ongoing
Runa,B2B Software and Services -> Human Resources,W18,"Mexico City, CDMX, Mexico",18,Active,Ongoing
ErudiFi,Financial Technology -> Credit and Lending,W18,"Jakarta, Jakarta, Indonesia",18,Active,Ongoing
Vena Medical,Healthcare -> Medical Devices,W18,"Kitchener, ON, Canada",18,Active,Ongoing
Mind Emulation Foundation,Healthcare -> Therapeutics,W18,,18,Active,Ongoing
Anjuna,B2B Software and Services -> Security,W18,"Palo Alto, CA, USA",18,Active,Ongoing
Tarjimly,Consumer -> Social,W18,Remote,18,Active,Ongoing
