name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Cera,Financial Technology,Financial Technology,Financial Technology,,Fintech,Cryptocurrency,FALSE,FALSE,TRUE,W,22,Remote,Singapore,0
Prembly (formerly Identitypass),B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Security,B2B,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Agency,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,SaaS,Security,FALSE,FALSE,FALSE,W,22,"New York, NY, USA",United States of America,0
Pluto.markets,Financial Technology,Financial Technology -> Asset Management,Financial Technology,Asset Management,Crypto / Web3,Fintech,FALSE,FALSE,FALSE,W,22,"Copenhagen, Denmark",Denmark,0
PayCrunch,Financial Technology,Financial Technology -> Credit and Lending,Financial Technology,Credit and Lending,Fintech,Payments,FALSE,FALSE,FALSE,W,22,"Bengaluru, KA, India",India,0
Livedocs,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,SaaS,Analytics,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
voize,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Healthcare,,FALSE,FALSE,FALSE,W,22,"Berlin, Berlin, Germany",Germany,0
Requestly,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,SaaS,FALSE,FALSE,FALSE,W,22,"New Delhi, DL, India",India,0
Kaagaz,Consumer,Consumer,Consumer,,India,SaaS,FALSE,FALSE,FALSE,W,22,Remote,India,0
Boya,Financial Technology,Financial Technology,Financial Technology,,Fintech,FinOps,TRUE,FALSE,FALSE,W,22,"Nairobi, Nairobi County, Kenya",Kenya,0
Curacel,Financial Technology,Financial Technology -> Insurance,Financial Technology,Insurance,Fintech,SaaS,TRUE,FALSE,FALSE,W,22,"Lagos, LA, Nigeria",Nigeria,0
FinFlx,Financial Technology,Financial Technology,Financial Technology,,Fintech,B2B,FALSE,FALSE,FALSE,W,22,"Dubai, United Arab Emirates",United Arab Emirates,0
LunaJoy,Healthcare,Healthcare -> Healthcare Services,Healthcare,Healthcare Services,Mental Health Tech,Femtech,FALSE,FALSE,TRUE,W,22,Remote,United States of America,0
Cotera,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,CRM,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Sero,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Customer Success,SaaS,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Botin,Financial Technology,Financial Technology -> Asset Management,Financial Technology,Asset Management,Fintech,Crypto / Web3,FALSE,TRUE,FALSE,W,22,Remote,Costa Rica,0
Posh,Industrials,Industrials -> Climate,Industrials,Climate,ClimateTech,Robotics,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
Toko,Education,Education,Education,,AI-Enhanced Learning,Education,FALSE,FALSE,TRUE,W,22,"New York, NY, USA",United States of America,0
Enlightra,Industrials,Industrials,Industrials,,Hard Tech,Hardware,FALSE,FALSE,FALSE,W,22,"Ecublens, VD, Switzerland",Switzerland,0
Cogram,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Artifical Intelligence,,FALSE,FALSE,FALSE,W,22,"Berlin, Berlin, Germany",Germany,0
Markaz Technologies,Consumer,Consumer,Consumer,,E-commerce,Marketplace,FALSE,FALSE,FALSE,W,22,"Islamabad, Islamabad Capital Territory, Pakistan",Pakistan,0
Eazipay Inc.,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,Payroll,TRUE,FALSE,FALSE,W,22,"Lagos, LA, Nigeria",Nigeria,0
Wibond,Financial Technology,Financial Technology -> Credit and Lending,Financial Technology,Credit and Lending,Banking as a Service,Fintech,FALSE,TRUE,FALSE,W,22,"CÃ³rdoba, Cordoba, Argentina",Argentina,0
Snippyly,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,SaaS,Collaboration,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
digiventures,Financial Technology,Financial Technology,Financial Technology,,Fintech,SaaS,FALSE,TRUE,FALSE,W,22,"Buenos Aires, CABA, Argentina",Argentina,0
PayCaddy,Financial Technology,Financial Technology,Financial Technology,,Fintech,B2B,FALSE,TRUE,FALSE,W,22,"Panama City, Panama, Panama",Panama,0
Tuva Health,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,SaaS,Digital Health,FALSE,TRUE,FALSE,W,22,Remote,United States of America,0
Plumter,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Complete,B2B Software and Services,B2B Software and Services -> Human Resources,B2B Software and Services,Human Resources,HR Tech,SaaS,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
Tingo,Consumer,Consumer,Consumer,,Social,Consumer,FALSE,FALSE,FALSE,W,22,Remote,India,0
Anfin,Financial Technology,Financial Technology -> Banking and Exchange,Financial Technology,Banking and Exchange,Fintech,Investing,FALSE,FALSE,FALSE,W,22,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Vietnam,0
IMT Care,Healthcare,Healthcare -> Consumer Health and Wellness,Healthcare,Consumer Health and Wellness,Insurance,India,FALSE,FALSE,FALSE,W,22,"MH, India",India,0
SALT,Financial Technology,Financial Technology,Financial Technology,,Fintech,B2B,FALSE,FALSE,TRUE,W,22,"Bengaluru, KA, India",India,0
NearWave,Healthcare,Healthcare -> Medical Devices,Healthcare,Medical Devices,Healthcare,Medical Devices,FALSE,FALSE,FALSE,W,22,"South Bend, IN, USA",United States of America,0
Stairs Financial,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Fintech,Proptech,TRUE,FALSE,FALSE,W,22,"New York, NY, USA",United States of America,0
PermitFlow,Real Estate and Construction,Real Estate and Construction -> Construction,Real Estate and Construction,Construction,Construction,GovTech,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Power to the Brand,B2B Software and Services,B2B Software and Services,B2B Software and Services,,B2B,Consumer,FALSE,FALSE,FALSE,W,22,"Singapore, Singapore",Singapore,0
Kable,B2B Software and Services,B2B Software and Services -> Finance and Accounting,B2B Software and Services,Finance and Accounting,API,Developer Tools,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Mintlify,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Developer Tools,,FALSE,FALSE,TRUE,W,22,"San Francisco, CA, USA",United States of America,0
SkyLink,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Travel,,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
IOMETE,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Analytics,,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Magna,Financial Technology,Financial Technology,Financial Technology,,DeFi,DAO,FALSE,TRUE,FALSE,W,22,"New York, NY, USA",United States of America,0
RecordBook,B2B Software and Services,B2B Software and Services,B2B Software and Services,,SaaS,B2B,FALSE,FALSE,FALSE,W,22,Remote,India,0
Sphere,Education,Education,Education,,Education,Marketplace,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
Speechly,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Artifical Intelligence,Speech Recognition,FALSE,FALSE,FALSE,W,22,"Helsinki, Finland",Finland,0
Stackshine,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,Enterprise,Analytics,FALSE,TRUE,FALSE,W,22,Remote,United States of America,0
BharatX,Financial Technology,Financial Technology -> Credit and Lending,Financial Technology,Credit and Lending,Fintech,Consumer,FALSE,FALSE,FALSE,W,22,"Bengaluru, KA, India",India,0
Ping.gg,Consumer,Consumer -> Content,Consumer,Content,Media,Video,FALSE,TRUE,TRUE,W,22,Remote,United States of America,0
Gauss,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Fintech,Consumer,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
RedBrick AI,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Healthcare,AIOps,FALSE,FALSE,FALSE,W,22,"MH, India",India,0
Flagright,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Regtech,B2B,FALSE,FALSE,FALSE,W,22,"Berlin, Berlin, Germany",Germany,0
Axis,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,B2B,Subscriptions,FALSE,TRUE,FALSE,W,22,Remote,United States of America,0
HOKALI,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Sports Tech,Marketplace,FALSE,TRUE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
EXO Freight,B2B Software and Services,B2B Software and Services -> Supply Chain and Logistics,B2B Software and Services,Supply Chain and Logistics,Logistics,Digital Freight Brokerage,FALSE,FALSE,FALSE,W,22,"Royal Oak, MI, USA",United States of America,0
Nook,Real Estate and Construction,Real Estate and Construction -> Construction,Real Estate and Construction,Construction,Human Resources,Logistics,FALSE,FALSE,FALSE,W,22,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Vietnam,0
Bakool,Consumer,Consumer,Consumer,,Grocery,Delivery,FALSE,FALSE,FALSE,W,22,"Jakarta, Jakarta, Indonesia",Indonesia,0
Streak,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,,FALSE,FALSE,FALSE,W,22,"Bengaluru, KA, India",India,0
Cardda,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,Payments,FALSE,TRUE,FALSE,W,22,"Santiago, Santiago Metropolitan Region, Chile",Chile,0
Ole,Consumer,Consumer,Consumer,,Fashion,E-Commerce,FALSE,FALSE,TRUE,W,22,"Tel Aviv-Yafo, Tel Aviv District, Israel",Israel,0
AeonCharge,Consumer,Consumer -> Transportation Services,Consumer,Transportation Services,Climate,Electric Vehicles,FALSE,FALSE,FALSE,W,22,"Seattle, WA, USA",United States of America,0
Palitronica Inc,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,Security,Hardware,FALSE,FALSE,FALSE,W,22,Remote,Canada,0
Castled Data,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",SaaS,,FALSE,FALSE,FALSE,W,22,"Bengaluru, KA, India",India,0
Dart,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Productivity,Developer Tools,FALSE,FALSE,FALSE,W,22,"Redwood City, CA, USA",United States of America,0
Soon,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Fintech,Investing,FALSE,TRUE,FALSE,W,22,Remote,United States of America,0
